image_id,melanoma_gustav,assymetry_gustav,border_gustav,color_gustav,melanoma_magnus,assymetry_magnus,border_magnus,color_magnus,melanoma_marie,assymetry_marie,border_marie,color_marie,melanoma_viggo,assymetry_viggo,border_viggo,color_viggo,melanoma_frida,assymetry_frida,border_frida,color_frida
ISIC_0001769,0,2,2,2,0,3,3,4,0,1,1,0,0,1,2,2,0,1,2,1
ISIC_0001852,1,3,4,7,1,4,3,5,0,1,1,3,1,1,3,4,0,1,1,3
ISIC_0001871,1,3,5,6,0,3,4,5,1,1,3,6,0,2,2,5,0,1,1,1
ISIC_0003462,0,2,2,3,1,2,3,6,0,2,3,4,1,1,4,4,0,2,1,1
ISIC_0003539,1,6,7,7,1,6,7,7,1,6,5,8,1,6,6,6,1,2,5,7
ISIC_0003582,1,7,6,5,1,5,6,7,1,6,6,8,1,6,7,5,1,8,8,6
ISIC_0003657,1,4,4,5,0,4,4,3,1,3,8,6,1,3,6,4,0,2,3,4
ISIC_0003805,1,4,5,5,1,6,6,6,1,6,7,7,0,3,3,5,0,2,5,4
ISIC_0004337,0,2,3,3,0,3,4,5,1,3,5,7,0,2,3,3,0,1,1,3
ISIC_0006651,0,2,2,3,0,3,2,4,1,3,6,8,0,3,2,3,0,1,3,2
ISIC_0006671,0,2,2,3,0,4,3,2,0,1,2,3,0,2,2,2,0,1,1,1
ISIC_0006815,0,2,2,2,0,6,6,3,0,3,3,1,0,2,2,2,0,1,4,2
ISIC_0006914,1,4,7,3,0,2,5,3,1,2,3,7,1,2,6,4,0,2,2,3
ISIC_0007141,1,5,4,6,0,3,2,3,1,3,5,7,1,3,5,5,1,1,4,4
ISIC_0007156,1,3,4,6,0,1,1,4,0,2,2,3,1,2,7,6,0,1,3,3
ISIC_0007235,1,2,4,7,0,0,0,0,0,1,1,4,1,3,6,4,1,2,3,5
ISIC_0007241,1,7,5,6,0,6,6,5,0,4,5,7,1,4,5,5,0,3,5,5
ISIC_0007332,1,3,6,5,0,2,2,6,0,1,2,8,1,1,2,8,1,1,2,6
ISIC_0007344,1,6,5,6,1,5,6,5,0,7,8,5,1,7,4,7,1,5,6,6
ISIC_0007528,0,3,3,2,0,2,2,3,0,1,1,3,0,2,2,2,0,1,2,3
ISIC_0007796,1,5,4,4,0,4,3,4,0,3,2,4,1,6,5,6,1,3,4,5
ISIC_0008025,1,5,5,4,1,2,3,4,0,3,4,5,0,2,2,3,0,1,3,2
ISIC_0008524,0,5,2,2,0,7,5,3,1,9,7,4,1,6,4,4,1,5,4,2
ISIC_0009995,1,7,8,7,1,8,8,6,1,9,9,7,1,7,7,5,1,4,8,6
ISIC_0010459,1,6,7,7,1,5,4,9,0,3,4,9,0,1,5,4,0,2,3,3
ISIC_0012099,1,4,7,6,0,4,6,3,1,3,7,8,1,2,8,6,1,2,6,5
ISIC_0012109,1,6,5,6,0,2,3,4,1,5,5,8,1,3,7,6,1,3,6,6
ISIC_0012126,1,6,5,6,0,3,3,4,1,4,5,7,0,4,6,6,1,3,6,8
ISIC_0012127,1,8,7,6,1,3,4,6,1,2,2,9,1,3,4,5,1,4,5,5
ISIC_0012143,0,5,4,4,0,6,6,6,0,3,5,8,0,4,4,3,0,3,5,3
ISIC_0012151,1,8,8,7,1,7,7,6,1,6,7,8,1,6,6,4,1,5,7,9
ISIC_0012159,0,6,5,4,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1
ISIC_0012160,1,8,8,2,0,3,4,2,1,7,6,2,0,2,3,3,1,3,6,3
ISIC_0012191,1,7,6,6,1,7,6,4,1,5,6,10,1,6,6,7,1,4,7,6
ISIC_0012201,1,7,6,6,0,5,4,5,1,4,6,7,1,4,6,6,1,2,7,6
ISIC_0012204,0,3,4,4,0,4,2,0,0,2,3,6,0,2,2,4,0,1,4,3
ISIC_0012206,1,10,9,7,0,0,0,0,1,10,10,6,1,8,7,8,1,5,9,8
ISIC_0012210,0,6,7,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2
ISIC_0012221,0,2,3,3,0,0,1,3,0,0,1,3,1,2,6,5,0,1,1,1
ISIC_0012222,1,7,6,5,1,3,4,4,1,5,6,6,1,5,5,4,1,3,7,6
ISIC_0012254,0,8,7,7,0,0,0,3,0,1,1,4,1,3,8,4,0,1,1,1
ISIC_0012256,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
ISIC_0012288,1,8,6,6,1,7,7,4,1,6,7,6,1,6,5,5,1,3,7,6
ISIC_0012306,0,3,3,3,0,4,3,4,1,4,5,6,1,3,4,5,1,3,4,6
ISIC_0012313,1,6,4,6,0,4,3,4,0,4,5,5,1,4,5,5,1,3,4,7
ISIC_0012316,1,5,7,5,1,3,2,5,1,4,5,8,1,5,6,5,1,2,3,7
ISIC_0012335,0,3,4,4,0,3,4,3,0,5,1,1,1,6,5,5,0,3,2,2
ISIC_0012380,0,5,5,6,0,6,6,5,0,3,5,6,0,5,4,5,0,1,2,4
ISIC_0012383,0,4,5,5,0,0,3,4,0,4,5,6,0,2,3,3,0,1,2,4
ISIC_0012400,1,8,8,8,1,6,6,7,1,7,8,10,1,7,6,6,1,3,5,9
ISIC_0012417,0,8,7,7,0,5,8,3,0,7,8,9,1,7,7,3,0,5,6,3
ISIC_0012434,1,4,7,3,1,3,2,5,0,1,1,4,1,3,5,4,0,1,1,2
ISIC_0012492,0,8,3,7,0,5,4,7,0,4,6,5,0,3,3,3,0,1,2,2
ISIC_0012513,0,3,3,6,0,4,6,7,0,3,2,5,0,5,4,3,0,1,4,3
ISIC_0012538,1,9,7,7,0,7,6,5,1,8,6,7,1,7,5,7,1,4,4,8
ISIC_0012547,0,4,3,5,1,4,6,6,1,3,3,9,1,2,3,6,0,1,1,1
ISIC_0012660,1,8,6,6,1,6,6,5,1,7,8,6,1,8,7,7,1,3,7,7
ISIC_0012684,1,7,7,7,1,5,6,6,1,4,7,8,1,8,7,7,1,2,5,7
ISIC_0012720,0,6,6,5,0,2,3,6,0,2,5,7,0,2,3,3,0,1,2,2
ISIC_0012746,1,7,7,6,0,5,6,4,0,3,2,3,1,3,4,5,0,2,3,3
